csi_path,max_rss,gt_phi,gt_theta,rss,2ace_quality,2ace_running_time,2ace_phi,2ace_theta,rss_at_gt,loss,angle_error
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-10.mat,-116.1808760712714,3.0,36.0,-116.23564588956056,0.2757944188750192,17.46582531929016,3.0,36.0,-128.91890158210282,0.05476981828915939,0.0
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-100.mat,-125.4443329515195,316.0,71.0,-125.74202602777538,0.2111875189889192,11.679210662841797,316.0,69.0,-140.82056600257292,0.29769307625588226,1.9999999999999472
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-11.mat,-143.56101988475248,18.0,61.0,-143.87835958399123,0.3456198128437803,11.477364301681519,17.0,61.0,-155.1753550901496,0.31733969923874383,0.8746170978937965
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-12.mat,-107.57356791716032,347.0,74.0,-151.64298163587293,0.3211355670058007,15.160065174102783,27.0,26.0,-128.43440106623777,44.06941371871261,55.21181565241841
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-13.mat,-119.76758186066208,355.0,49.0,-120.08434488732885,0.14297309367445665,15.740022659301758,355.0,49.0,-134.0473976315608,0.31676302666677714,0.0
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-14.mat,-106.99148164922076,210.0,69.0,-110.30923211720335,-0.09474338042233388,13.515111207962036,207.0,75.0,-123.21995958493258,3.3177504679825915,6.643086579016443
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-15.mat,-99.99620034406443,233.0,16.0,-137.36440823172893,0.2507246073153838,16.313974857330322,249.0,72.0,-118.63178135722784,37.3682078876645,56.69897400079094
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-16.mat,-122.5355046975691,206.0,48.0,-122.78979115042141,-0.17827352731015256,15.825372219085693,207.0,47.0,-135.85125513534572,0.25428645285231255,1.242386017010032
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-17.mat,-145.8787943679089,154.0,67.0,-145.90919450596658,-0.4056890588038464,16.457724809646606,155.0,67.0,-157.13791807049117,0.030400138057672166,0.9205030696921439
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-18.mat,-115.93340887880215,32.0,51.0,-139.96018112753458,0.13190314196507302,10.535658121109009,68.0,44.0,-132.76045928741473,24.026772248732428,27.19656255527118
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-19.mat,-140.61702061397284,263.0,24.0,-140.63006374420863,0.23640327306550746,12.723999738693237,264.0,25.0,-152.93934877640788,0.013043130235786293,1.0825430461817598
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-2.mat,-131.83429333085138,292.0,58.0,-132.0923757307756,-0.022544771604413594,15.404694318771362,292.0,59.0,-145.867795027219,0.2580823999242057,0.9999999999999002
./csi-dataset/uva-communication-28G-csi-nlos/t16x16_r2x1_test_small/10032-run00000-20.mat,-112.1949636262049,263.0,14.0,-112.46157436575777,0.1663976880683481,11.929681301116943,260.0,14.0,-125.48777780740402,0.26661073955287407,0.7256876348721341
